Gene_ID	P1S3	S2S3	P1V2	S2V2
fig|1185660.4.peg.2263	7	8	1251	178
fig|1185660.4.peg.2264	11	17	1240	114
fig|1185660.4.peg.2265	6	8	828	80
fig|1185660.4.peg.2266	1	2	587	141
fig|1185660.4.peg.2267	1	5	524	117
fig|1185660.4.peg.2268	3	3	484	84
fig|1185660.4.peg.2269	5	8	459	59
fig|1185660.4.peg.227	100	49	73	53
fig|1185660.4.peg.2270	4	5	365	39
fig|1185660.4.peg.2271	4	7	354	25
fig|1185660.4.peg.2272	8	9	1733	100
fig|1185660.4.peg.2273	6	4	388	56
fig|1185660.4.peg.2274	7	9	963	135
fig|1185660.4.peg.2275	15	8	935	119
fig|1185660.4.peg.2276	8	11	275	48
fig|1185660.4.peg.2277	135	100	205	211
fig|1185660.4.peg.2278	76	185	1037	534
fig|1185660.4.peg.2279	181	301	1523	616
fig|1185660.4.peg.228	77	55	82	75
fig|1185660.4.peg.2280	100	159	706	292
fig|1185660.4.peg.2281	34	44	369	93
fig|1185660.4.peg.2282	280	311	5832	892
fig|1185660.4.peg.2285	87	89	673	144
fig|1185660.4.peg.2286	48	32	288	68
fig|1185660.4.peg.2287	54	45	282	76
fig|1185660.4.peg.2288	61	50	203	67
fig|1185660.4.peg.229	97	72	85	79
fig|1185660.4.peg.2290	137	149	483	176
fig|1185660.4.peg.2291	48	36	93	58
fig|1185660.4.peg.2292	10	13	1175	308
fig|1185660.4.peg.2293	4	10	374	85
fig|1185660.4.peg.2295	14	33	611	131
fig|1185660.4.peg.2296	15	30	327	86
fig|1185660.4.peg.2297	11	18	221	64
fig|1185660.4.peg.2298	33	53	654	95
fig|1185660.4.peg.23	6	10	418	50
fig|1185660.4.peg.230	68	62	122	111
fig|1185660.4.peg.2300	8	10	783	257
fig|1185660.4.peg.2301	5	8	655	149
fig|1185660.4.peg.2302	5	5	648	169
fig|1185660.4.peg.2303	13	8	1192	248
fig|1185660.4.peg.2305	30	38	642	134
fig|1185660.4.peg.2307	434	179	408	205
fig|1185660.4.peg.2308	134	133	183	106
fig|1185660.4.peg.2309	80	83	95	49
fig|1185660.4.peg.231	38	43	40	34
fig|1185660.4.peg.2310	46	48	68	53
fig|1185660.4.peg.2312	58	34	62	41
fig|1185660.4.peg.2313	289	142	358	293
fig|1185660.4.peg.2314	68	72	69	61
fig|1185660.4.peg.2315	102	78	92	77
fig|1185660.4.peg.2316	24	12	20	14
fig|1185660.4.peg.2317	62	45	60	57
fig|1185660.4.peg.2318	118	86	95	98
fig|1185660.4.peg.2319	129	132	113	101
fig|1185660.4.peg.232	214	107	159	82
fig|1185660.4.peg.2320	303	438	351	176
fig|1185660.4.peg.2323	17	11	45	51
fig|1185660.4.peg.2324	100	47	94	72
fig|1185660.4.peg.2325	91	42	81	75
fig|1185660.4.peg.2327	151	95	389	332
fig|1185660.4.peg.2328	752	700	705	475
fig|1185660.4.peg.233	12	17	11	19
fig|1185660.4.peg.2330	571	477	535	470
fig|1185660.4.peg.2331	188	185	659	549
fig|1185660.4.peg.2332	211	203	487	469
fig|1185660.4.peg.2333	100	91	110	98
fig|1185660.4.peg.2334	122	121	136	123
fig|1185660.4.peg.2336	157	150	130	150
fig|1185660.4.peg.2337	181	149	175	172
fig|1185660.4.peg.2338	217	159	208	176
fig|1185660.4.peg.2339	191	133	173	128
fig|1185660.4.peg.2340	134	91	145	216
fig|1185660.4.peg.2341	7	6	8	11
fig|1185660.4.peg.2342	5	6	6	7
fig|1185660.4.peg.2343	10	8	11	12
fig|1185660.4.peg.2344	240	237	434	183
fig|1185660.4.peg.2345	57	64	75	73
fig|1185660.4.peg.2346	43	20	691	1300
fig|1185660.4.peg.2347	133	141	172	135
fig|1185660.4.peg.2348	34	29	20	23
fig|1185660.4.peg.2349	88	73	88	77
fig|1185660.4.peg.235	66	104	93	84
fig|1185660.4.peg.2350	16	37	194	362
fig|1185660.4.peg.2351	4	9	11	22
fig|1185660.4.peg.2353	309	316	1333	941
fig|1185660.4.peg.2356	54	38	65	58
fig|1185660.4.peg.2357	60	76	80	60
fig|1185660.4.peg.2358	236	241	316	246
fig|1185660.4.peg.2359	253	266	296	291
fig|1185660.4.peg.236	25	29	10	19
fig|1185660.4.peg.2360	150	173	206	151
fig|1185660.4.peg.2361	877	691	999	834
fig|1185660.4.peg.2362	1039	643	1146	831
fig|1185660.4.peg.2363	156	98	179	149
fig|1185660.4.peg.2364	61	39	64	47
fig|1185660.4.peg.2365	89	52	87	87
fig|1185660.4.peg.2366	13	33	15	9
fig|1185660.4.peg.2367	326	106	197	161
fig|1185660.4.peg.2368	29	5	151	242
fig|1185660.4.peg.2369	88	45	145	123
fig|1185660.4.peg.237	13	24	13	23
fig|1185660.4.peg.2370	18	5	10	14
fig|1185660.4.peg.2372	33	14	18	32
fig|1185660.4.peg.2373	66	23	39	28
fig|1185660.4.peg.2374	61	15	29	21
fig|1185660.4.peg.2375	24	19	12	12
fig|1185660.4.peg.2376	47	37	66	48
fig|1185660.4.peg.2377	313	138	445	159
fig|1185660.4.peg.2378	295	129	385	155
fig|1185660.4.peg.238	21	22	15	26
fig|1185660.4.peg.2380	11	7	291	49
fig|1185660.4.peg.2381	14	10	55	44
fig|1185660.4.peg.2382	0	0	134	153
fig|1185660.4.peg.2384	68	36	63	58
fig|1185660.4.peg.2385	4	4	5	8
fig|1185660.4.peg.2387	6	4	8	11
fig|1185660.4.peg.2388	5	6	5	11
fig|1185660.4.peg.2389	10	16	13	18
fig|1185660.4.peg.2390	4	6	6	8
fig|1185660.4.peg.2391	20	36	22	23
fig|1185660.4.peg.2392	10	24	17	15
fig|1185660.4.peg.2392	432	313	419	320
fig|1185660.4.peg.2392	81	112	77	94
fig|1185660.4.peg.2393	641	624	618	456
fig|1185660.4.peg.2394	168	129	148	123
fig|1185660.4.peg.2395	390	373	671	455
fig|1185660.4.peg.2396	34	32	42	45
fig|1185660.4.peg.2398	892	740	2035	1834
fig|1185660.4.peg.240	18	27	16	19
fig|1185660.4.peg.2400	65	44	82	67
fig|1185660.4.peg.2401	222	126	241	198
fig|1185660.4.peg.2402	127	94	416	267
fig|1185660.4.peg.2403	876	451	1945	908
fig|1185660.4.peg.2404	2572	1158	3622	2167
fig|1185660.4.peg.2405	213	151	531	351
fig|1185660.4.peg.2406	3447	5732	105746	72154
fig|1185660.4.peg.2407	652	379	1055	836
fig|1185660.4.peg.2408	489	268	510	453
fig|1185660.4.peg.241	12	15	12	12
fig|1185660.4.peg.2410	371	179	324	248
fig|1185660.4.peg.2411	296	196	343	199
fig|1185660.4.peg.2412	167	96	179	152
fig|1185660.4.peg.2413	31	27	36	33
fig|1185660.4.peg.2415	40	34	41	60
fig|1185660.4.peg.2416	56	56	59	74
fig|1185660.4.peg.2417	47	64	46	48
fig|1185660.4.peg.2418	61	90	67	52
fig|1185660.4.peg.2419	38	28	30	21
fig|1185660.4.peg.242	8	8	10	10
fig|1185660.4.peg.2420	17	13	13	17
fig|1185660.4.peg.2421	60	43	144	94
fig|1185660.4.peg.2422	77	63	102	128
fig|1185660.4.peg.2423	290	170	435	239
fig|1185660.4.peg.2424	636	217	638	216
fig|1185660.4.peg.2429	3	5	9	14
fig|1185660.4.peg.2430	9	7	12	12
fig|1185660.4.peg.2431	4	7	13	12
fig|1185660.4.peg.2432	1	1	1	0
fig|1185660.4.peg.2437	19	14	22	18
fig|1185660.4.peg.244	278	266	200	181
fig|1185660.4.peg.2440	5	6	10	13
fig|1185660.4.peg.2441	4	2	8	10
fig|1185660.4.peg.2442	12	8	150	164
fig|1185660.4.peg.2445	3	1	22	41
fig|1185660.4.peg.2446	6	10	11	13
fig|1185660.4.peg.2447	3	5	5	9
fig|1185660.4.peg.2449	2	1	2	5
fig|1185660.4.peg.2450	3	2	2	5
fig|1185660.4.peg.2452	2	1	2	4
fig|1185660.4.peg.2454	4	4	7	9
fig|1185660.4.peg.2455	2	2	3	9
fig|1185660.4.peg.2456	3	3	5	6
fig|1185660.4.peg.2457	6	10	25	19
fig|1185660.4.peg.2458	4	5	8	8
fig|1185660.4.peg.2459	4	3	4	9
fig|1185660.4.peg.2460	4	2	5	8
fig|1185660.4.peg.2461	6	6	8	8
fig|1185660.4.peg.2462	7	5	6	7
fig|1185660.4.peg.2463	10	9	10	12
fig|1185660.4.peg.2464	7	6	5	8
fig|1185660.4.peg.2465	8	10	10	11
fig|1185660.4.peg.2466	3	4	5	5
fig|1185660.4.peg.2470	3	8	8	34
fig|1185660.4.peg.2471	0	3	4	18
fig|1185660.4.peg.2472	4	10	4	19
fig|1185660.4.peg.2474	6	6	7	6
fig|1185660.4.peg.2476	2	2	3	5
fig|1185660.4.peg.2477	4	0	13	16
fig|1185660.4.peg.2478	6	7	9	12
fig|1185660.4.peg.2479	5	6	5	8
fig|1185660.4.peg.2480	0	0	11	4
fig|1185660.4.peg.2483	16	12	74	100
fig|1185660.4.peg.2483	29	25	35	29
fig|1185660.4.peg.2484	64	25	66	46
fig|1185660.4.peg.2485	100	47	95	52
fig|1185660.4.peg.2486	46	118	48	40
fig|1185660.4.peg.2487	328	469	265	233
fig|1185660.4.peg.2488	26	24	19	16
fig|1185660.4.peg.2489	16	8	17	17
fig|1185660.4.peg.249	1	1	11	34
fig|1185660.4.peg.2490	11	3	9	9
fig|1185660.4.peg.2491	25	9	17	12
fig|1185660.4.peg.2492	14	4	14	10
fig|1185660.4.peg.2494	21	10	32	30
fig|1185660.4.peg.2494	87	66	84	66
fig|1185660.4.peg.2495	56	31	95	96
fig|1185660.4.peg.2496	103	35	225	197
fig|1185660.4.peg.2497	174	71	384	289
fig|1185660.4.peg.2498	101	40	221	176
fig|1185660.4.peg.2499	30	14	64	53
fig|1185660.4.peg.25	143	132	1707	653
fig|1185660.4.peg.250	1	1	1	0
fig|1185660.4.peg.2500	83	42	187	148
fig|1185660.4.peg.2501	111	47	228	186
fig|1185660.4.peg.2502	31	12	65	63
fig|1185660.4.peg.2503	50	24	83	76
fig|1185660.4.peg.2504	108	50	212	204
fig|1185660.4.peg.2505	191	68	408	341
fig|1185660.4.peg.2506	249	132	400	312
fig|1185660.4.peg.2507	341	295	565	549
fig|1185660.4.peg.2508	187	78	298	199
fig|1185660.4.peg.251	0	0	0	0
fig|1185660.4.peg.2510	152	56	150	127
fig|1185660.4.peg.2511	407	162	374	257
fig|1185660.4.peg.2513	3539	1376	6971	2664
fig|1185660.4.peg.2514	6522	4513	44530	19821
fig|1185660.4.peg.2515	1944	1485	3063	1902
fig|1185660.4.peg.2516	185	136	184	159
fig|1185660.4.peg.2517	176	112	193	122
fig|1185660.4.peg.2520	14	8	19	14
fig|1185660.4.peg.2521	12	7	16	17
fig|1185660.4.peg.2522	3	3	5	8
fig|1185660.4.peg.2526	5	8	14	24
fig|1185660.4.peg.253	14	10	11	17
fig|1185660.4.peg.2530	12	14	12	11
fig|1185660.4.peg.2531	78	82	66	93
fig|1185660.4.peg.2532	73	63	74	65
fig|1185660.4.peg.2533	162	140	164	112
fig|1185660.4.peg.2534	138	92	124	90
fig|1185660.4.peg.2535	866	678	1084	490
fig|1185660.4.peg.2536	163	108	127	89
fig|1185660.4.peg.2537	0	0	0	0
fig|1185660.4.peg.2537	161	116	166	86
fig|1185660.4.peg.2538	110	104	106	66
fig|1185660.4.peg.2539	119	124	117	56
fig|1185660.4.peg.2541	57	20	49	36
fig|1185660.4.peg.2542	130	32	297	237
fig|1185660.4.peg.2545	1	0	2	1
fig|1185660.4.peg.2546	1181	119	377	144
fig|1185660.4.peg.2547	1172	96	306	103
fig|1185660.4.peg.2548	1186	59	338	107
fig|1185660.4.peg.2549	456	327	290	192
fig|1185660.4.peg.2550	586	852	445	233
fig|1185660.4.peg.2553	4	5	5	6
fig|1185660.4.peg.2554	15	17	16	16
fig|1185660.4.peg.2555	47	87	65	49
fig|1185660.4.peg.2556	723	572	1413	957
fig|1185660.4.peg.2557	37	20	25	22
fig|1185660.4.peg.2558	494	379	564	530
fig|1185660.4.peg.2559	176	90	135	132
fig|1185660.4.peg.256	36	49	116	216
fig|1185660.4.peg.2560	421	199	269	241
fig|1185660.4.peg.2561	474	351	379	318
fig|1185660.4.peg.2562	99	68	68	72
fig|1185660.4.peg.2563	129	276	106	121
fig|1185660.4.peg.2565	96	77	108	69
fig|1185660.4.peg.2567	0	0	0	0
fig|1185660.4.peg.2567	18	15	9	13
fig|1185660.4.peg.2568	16	7	14	22
fig|1185660.4.peg.2569	2	4	53	110
fig|1185660.4.peg.257	19	20	33	25
fig|1185660.4.peg.2570	22	24	22	24
fig|1185660.4.peg.2571	8	9	10	13
fig|1185660.4.peg.2572	12	17	13	19
fig|1185660.4.peg.2573	12	12	14	15
fig|1185660.4.peg.2574	5	5	5	7
fig|1185660.4.peg.2575	9	8	632	723
fig|1185660.4.peg.2576	16	11	15	19
fig|1185660.4.peg.2577	48	26	38	11
fig|1185660.4.peg.2579	105	124	94	82
fig|1185660.4.peg.258	62	106	95	151
fig|1185660.4.peg.2581	180	215	150	110
fig|1185660.4.peg.2583	133	81	212	161
fig|1185660.4.peg.2584	59	49	67	42
fig|1185660.4.peg.2585	124	139	118	109
fig|1185660.4.peg.2586	136	118	132	112
fig|1185660.4.peg.2587	787	645	955	618
fig|1185660.4.peg.2588	199	135	148	117
fig|1185660.4.peg.259	54	86	56	73
fig|1185660.4.peg.2591	2010	1099	2448	1525
fig|1185660.4.peg.2592	2526	1780	9597	4257
fig|1185660.4.peg.2593	161	66	170	132
fig|1185660.4.peg.2594	294	108	527	200
fig|1185660.4.peg.2595	762	339	903	548
fig|1185660.4.peg.2596	896	268	973	729
fig|1185660.4.peg.2597	1307	582	1623	1104
fig|1185660.4.peg.2598	370	267	356	279
fig|1185660.4.peg.2599	326	225	369	309
fig|1185660.4.peg.260	151	208	144	190
fig|1185660.4.peg.2600	610	426	581	378
fig|1185660.4.peg.2601	737	429	1357	760
fig|1185660.4.peg.2602	360	223	320	287
fig|1185660.4.peg.2603	533	328	738	464
fig|1185660.4.peg.2604	394	218	382	329
fig|1185660.4.peg.2605	565	447	455	382
fig|1185660.4.peg.2606	635	480	537	413
fig|1185660.4.peg.2607	930	776	1327	830
fig|1185660.4.peg.2608	519	333	524	371
fig|1185660.4.peg.2609	770	477	645	412
fig|1185660.4.peg.261	63	43	47	51
fig|1185660.4.peg.2610	522	328	557	532
fig|1185660.4.peg.2611	870	548	1135	1146
fig|1185660.4.peg.2612	191	139	221	198
fig|1185660.4.peg.2613	30	23	33	31
fig|1185660.4.peg.2614	12	20	29	29
fig|1185660.4.peg.2615	9	14	15	12
fig|1185660.4.peg.2616	6	10	9	10
fig|1185660.4.peg.2617	23	16	28	30
fig|1185660.4.peg.2618	224	132	174	147
fig|1185660.4.peg.2619	339	180	242	199
fig|1185660.4.peg.262	207	113	255	197
fig|1185660.4.peg.2623	142	141	109	113
fig|1185660.4.peg.2624	188	193	216	198
fig|1185660.4.peg.2625	244	307	242	158
fig|1185660.4.peg.2626	49	54	39	40
fig|1185660.4.peg.2627	77	58	87	124
fig|1185660.4.peg.2628	48	36	41	43
fig|1185660.4.peg.2629	60	66	83	93
fig|1185660.4.peg.263	275	134	191	178
fig|1185660.4.peg.2630	225	134	193	127
fig|1185660.4.peg.2631	151	92	117	86
fig|1185660.4.peg.2632	230	163	161	188
fig|1185660.4.peg.2633	203	170	132	121
fig|1185660.4.peg.2634	122	115	127	106
fig|1185660.4.peg.2635	83	61	69	56
fig|1185660.4.peg.2636	255	89	134	106
fig|1185660.4.peg.2637	32	24	20	25
fig|1185660.4.peg.2639	11	13	9	12
fig|1185660.4.peg.264	117	101	162	142
fig|1185660.4.peg.2640	6	8	8	9
fig|1185660.4.peg.2641	23	6	24	11
fig|1185660.4.peg.2642	94	48	82	73
fig|1185660.4.peg.2643	86	60	137	123
fig|1185660.4.peg.2644	35	13	76	89
fig|1185660.4.peg.2645	186	121	1082	870
fig|1185660.4.peg.2647	261	171	1311	789
fig|1185660.4.peg.2648	255	187	297	169
fig|1185660.4.peg.2649	79	60	90	75
fig|1185660.4.peg.2650	110	144	110	64
fig|1185660.4.peg.2651	121	284	313	265
fig|1185660.4.peg.2652	37	52	32	38
fig|1185660.4.peg.2654	161	189	154	71
fig|1185660.4.peg.2655	36	56	27	24
fig|1185660.4.peg.2656	392	244	411	264
fig|1185660.4.peg.2657	97	46	72	75
fig|1185660.4.peg.2658	42	28	37	41
fig|1185660.4.peg.2659	124	81	152	158
fig|1185660.4.peg.266	98	82	72	76
fig|1185660.4.peg.2660	96	56	88	69
fig|1185660.4.peg.2661	81	37	85	79
fig|1185660.4.peg.2662	70	35	144	131
fig|1185660.4.peg.2662	864	658	1176	773
fig|1185660.4.peg.2663	625	270	556	302
fig|1185660.4.peg.2664	55	57	80	66
fig|1185660.4.peg.2665	28	39	25	35
fig|1185660.4.peg.2666	45	44	36	32
fig|1185660.4.peg.2667	154	241	113	84
fig|1185660.4.peg.2668	29	34	28	31
fig|1185660.4.peg.2669	472	742	840	625
fig|1185660.4.peg.267	101	118	127	84
fig|1185660.4.peg.2670	203	263	153	115
fig|1185660.4.peg.2671	340	364	233	179
fig|1185660.4.peg.2672	215	126	226	179
fig|1185660.4.peg.2673	95	122	84	85
fig|1185660.4.peg.2674	205	243	207	168
fig|1185660.4.peg.2675	206	313	145	125
fig|1185660.4.peg.2676	29	21	27	27
fig|1185660.4.peg.2678	108	115	88	83
fig|1185660.4.peg.2679	118	114	121	127
fig|1185660.4.peg.268	11	12	7	10
fig|1185660.4.peg.2680	158	116	144	192
fig|1185660.4.peg.2682	0	0	0	0
fig|1185660.4.peg.2684	3	4	6	4
fig|1185660.4.peg.2685	15	12	24	30
fig|1185660.4.peg.2686	47	34	48	33
fig|1185660.4.peg.2687	4	5	4	7
fig|1185660.4.peg.2688	6	3	4	10
fig|1185660.4.peg.2689	67	31	59	84
fig|1185660.4.peg.269	24	45	22	23
fig|1185660.4.peg.2690	125	77	111	121
fig|1185660.4.peg.2691	126	88	232	225
fig|1185660.4.peg.2692	216	200	185	146
fig|1185660.4.peg.2693	615	699	1005	741
fig|1185660.4.peg.2694	47	33	27	38
fig|1185660.4.peg.2695	70	42	56	76
fig|1185660.4.peg.2696	136	108	96	130
fig|1185660.4.peg.2697	309	282	235	196
fig|1185660.4.peg.2698	121	90	94	126
fig|1185660.4.peg.2699	130	100	84	105
fig|1185660.4.peg.270	26	17	26	30
fig|1185660.4.peg.2700	219	829	414	261
fig|1185660.4.peg.2701	193	358	169	122
fig|1185660.4.peg.2702	93	142	69	92
fig|1185660.4.peg.2703	83	114	66	97
fig|1185660.4.peg.2704	415	305	266	195
fig|1185660.4.peg.2705	333	400	581	491
fig|1185660.4.peg.2706	71	74	45	47
fig|1185660.4.peg.2707	44	19	40	34
fig|1185660.4.peg.2707	44	47	46	39
fig|1185660.4.peg.2708	30	51	35	30
fig|1185660.4.peg.2709	9	34	7	12
fig|1185660.4.peg.271	109	165	117	105
fig|1185660.4.peg.2710	3	17	3	7
fig|1185660.4.peg.2711	7	9	6	8
fig|1185660.4.peg.2712	54	31	41	35
fig|1185660.4.peg.2714	11	13	26	35
fig|1185660.4.peg.2714	3	2	7	10
fig|1185660.4.peg.2716	11	13	26	35
fig|1185660.4.peg.2716	3	2	7	10
fig|1185660.4.peg.2718	3	4	3	6
fig|1185660.4.peg.2719	12	12	16	21
fig|1185660.4.peg.272	80	106	63	65
fig|1185660.4.peg.2721	1	3	5	7
fig|1185660.4.peg.2723	58	77	305	240
fig|1185660.4.peg.2724	31	28	42	56
fig|1185660.4.peg.2726	26	23	41	32
fig|1185660.4.peg.2727	20	19	18	26
fig|1185660.4.peg.2728	8	6	11	9
fig|1185660.4.peg.2729	7	6	14	10
fig|1185660.4.peg.273	175	133	212	198
fig|1185660.4.peg.2731	11	7	11	13
fig|1185660.4.peg.2732	31	34	17	19
fig|1185660.4.peg.2733	16	22	10	13
fig|1185660.4.peg.2734	9	7	7	10
fig|1185660.4.peg.2735	68	41	45	35
fig|1185660.4.peg.2736	62	36	44	33
fig|1185660.4.peg.2737	73	38	61	56
fig|1185660.4.peg.2738	74	55	51	60
fig|1185660.4.peg.2739	69	43	47	28
fig|1185660.4.peg.274	562	403	849	746
fig|1185660.4.peg.2740	333	234	284	158
fig|1185660.4.peg.2741	152	98	136	94
fig|1185660.4.peg.2742	83	72	73	82
fig|1185660.4.peg.2743	75	63	43	44
fig|1185660.4.peg.2744	212	203	352	216
fig|1185660.4.peg.2745	111	84	77	64
fig|1185660.4.peg.2746	12	21	14	18
fig|1185660.4.peg.2747	50	32	47	44
fig|1185660.4.peg.2748	23	23	15	16
fig|1185660.4.peg.2749	5	5	4	7
fig|1185660.4.peg.275	11	13	14	12
fig|1185660.4.peg.2751	11	11	9	10
fig|1185660.4.peg.2752	79	174	44	48
fig|1185660.4.peg.2753	48	77	37	40
fig|1185660.4.peg.2754	243	322	133	149
fig|1185660.4.peg.2755	32	68	108	124
fig|1185660.4.peg.2756	88	80	71	67
fig|1185660.4.peg.2758	52	41	40	31
fig|1185660.4.peg.2759	4	10	9	8
fig|1185660.4.peg.276	274	1248	1049	814
fig|1185660.4.peg.2760	4	9	6	10
fig|1185660.4.peg.2761	4	8	6	20
fig|1185660.4.peg.2762	5	30	8	11
fig|1185660.4.peg.2764	22	10	16	27
fig|1185660.4.peg.2765	82	48	76	76
fig|1185660.4.peg.2766	50	43	60	36
fig|1185660.4.peg.2767	14	16	13	20
fig|1185660.4.peg.2768	31	31	37	42
fig|1185660.4.peg.2769	42	36	33	27
fig|1185660.4.peg.2770	42	27	35	32
fig|1185660.4.peg.2771	88	218	76	64
fig|1185660.4.peg.2772	227	255	234	188
fig|1185660.4.peg.2773	4385	4292	3761	1763
fig|1185660.4.peg.2774	126	147	132	100
fig|1185660.4.peg.2778	134	81	147	87
fig|1185660.4.peg.2782	10582	20433	14882	7421
fig|1185660.4.peg.2786	930	753	1304	1052
fig|1185660.4.peg.2787	93	96	98	78
fig|1185660.4.peg.2788	22	30	29	30
fig|1185660.4.peg.2789	48	46	62	52
fig|1185660.4.peg.279	0	0	0	0
fig|1185660.4.peg.2790	17	8	30	22
fig|1185660.4.peg.2791	54	44	48	49
fig|1185660.4.peg.2792	108	99	88	88
fig|1185660.4.peg.2793	114	108	115	106
fig|1185660.4.peg.2794	123	159	135	129
fig|1185660.4.peg.2795	57	52	42	38
fig|1185660.4.peg.2796	49	52	60	46
fig|1185660.4.peg.2797	27	42	33	19
fig|1185660.4.peg.2798	90	262	80	36
fig|1185660.4.peg.2799	21	32	24	21
fig|1185660.4.peg.28	85	36	70	61
fig|1185660.4.peg.280	0	0	0	0
fig|1185660.4.peg.2800	50	52	61	31
fig|1185660.4.peg.2801	22	16	31	24
fig|1185660.4.peg.2802	29	21	39	34
fig|1185660.4.peg.2803	28	20	35	27
fig|1185660.4.peg.2805	22	26	29	27
fig|1185660.4.peg.2806	20	20	19	23
fig|1185660.4.peg.2807	27	25	27	27
fig|1185660.4.peg.2808	9	10	5	8
fig|1185660.4.peg.2809	34	40	271	127
fig|1185660.4.peg.2810	5	8	110	20
fig|1185660.4.peg.2811	6	9	10	9
fig|1185660.4.peg.2813	44	35	48	46
fig|1185660.4.peg.2814	78	95	80	76
fig|1185660.4.peg.2816	12	27	20	31
fig|1185660.4.peg.2817	75	53	75	57
fig|1185660.4.peg.2818	398	285	384	311
fig|1185660.4.peg.2819	466	258	291	230
fig|1185660.4.peg.2822	466	364	345	177
fig|1185660.4.peg.2823	650	407	540	265
fig|1185660.4.peg.2824	1512	1345	2757	1337
fig|1185660.4.peg.2825	3759	2402	5604	3160
fig|1185660.4.peg.2826	198	146	150	157
fig|1185660.4.peg.2827	4	5	5	6
fig|1185660.4.peg.2828	4	5	5	3
fig|1185660.4.peg.2829	29	29	17	22
fig|1185660.4.peg.283	6	12	19	25
fig|1185660.4.peg.2830	93	63	53	46
fig|1185660.4.peg.2831	40	29	45	35
fig|1185660.4.peg.2832	52	26	55	57
fig|1185660.4.peg.2834	20	19	22	24
fig|1185660.4.peg.2835	44	33	29	34
fig|1185660.4.peg.2836	40	33	30	23
fig|1185660.4.peg.2837	88	92	78	52
fig|1185660.4.peg.2838	19	7	24	18
fig|1185660.4.peg.2839	158	104	131	123
fig|1185660.4.peg.284	87	51	93	84
fig|1185660.4.peg.2840	208	146	166	164
fig|1185660.4.peg.2841	87	62	66	60
fig|1185660.4.peg.2842	143	82	141	137
fig|1185660.4.peg.2843	137	68	80	81
fig|1185660.4.peg.2844	56	42	51	39
fig|1185660.4.peg.2845	9	10	11	16
fig|1185660.4.peg.2846	61	26	80	72
fig|1185660.4.peg.2847	62	51	64	57
fig|1185660.4.peg.2848	29	6	106	98
fig|1185660.4.peg.285	56	35	56	62
fig|1185660.4.peg.2850	5	4	11	12
fig|1185660.4.peg.2851	149	100	185	159
fig|1185660.4.peg.2852	32	26	32	28
fig|1185660.4.peg.2853	83	95	101	82
fig|1185660.4.peg.2854	35	33	42	32
fig|1185660.4.peg.2855	38	43	32	32
fig|1185660.4.peg.2856	389	386	820	616
fig|1185660.4.peg.2857	63	72	62	60
fig|1185660.4.peg.2858	341	252	291	257
fig|1185660.4.peg.2859	71	86	178	272
fig|1185660.4.peg.2860	24	16	47	36
fig|1185660.4.peg.2861	0	36	6174	5801
fig|1185660.4.peg.2862	23	12	49	73
fig|1185660.4.peg.2863	345	427	2453	1196
fig|1185660.4.peg.2864	6	8	23	12
fig|1185660.4.peg.2865	3	3	13	13
fig|1185660.4.peg.2867	8	8	18	21
fig|1185660.4.peg.2868	15	9	47	51
fig|1185660.4.peg.2869	15	11	28	37
fig|1185660.4.peg.287	31	42	303	583
fig|1185660.4.peg.2870	128	82	157	112
fig|1185660.4.peg.2871	136	116	95	91
fig|1185660.4.peg.2872	774	771	696	433
fig|1185660.4.peg.2873	1581	1371	2033	1791
fig|1185660.4.peg.2874	320	190	195	188
fig|1185660.4.peg.2875	411	149	271	241
fig|1185660.4.peg.2876	254	162	208	194
fig|1185660.4.peg.2877	280	172	215	202
fig|1185660.4.peg.2878	425	273	336	246
fig|1185660.4.peg.2879	134	139	118	92
fig|1185660.4.peg.2880	32	11	35	38
fig|1185660.4.peg.2881	37	19	39	37
fig|1185660.4.peg.2882	110	54	172	126
fig|1185660.4.peg.2883	163	54	156	116
fig|1185660.4.peg.2884	282	144	238	183
fig|1185660.4.peg.2885	24	11	23	20
fig|1185660.4.peg.2886	117	49	102	71
fig|1185660.4.peg.2887	333	297	249	198
fig|1185660.4.peg.2888	88	44	28	39
fig|1185660.4.peg.2889	95	51	93	75
fig|1185660.4.peg.2890	29	30	23	26
fig|1185660.4.peg.2891	5	7	6	6
fig|1185660.4.peg.2892	26	16	16	20
fig|1185660.4.peg.2893	37	10	22	25
fig|1185660.4.peg.2895	7	10	7	10
fig|1185660.4.peg.2896	26	19	24	25
fig|1185660.4.peg.2897	75	48	78	59
fig|1185660.4.peg.2898	90	100	68	71
fig|1185660.4.peg.2899	54	27	26	29
fig|1185660.4.peg.29	122	190	108	134
fig|1185660.4.peg.290	69	56	92	91
fig|1185660.4.peg.2900	8	5	38	45
fig|1185660.4.peg.2901	44	79	45	50
fig|1185660.4.peg.2902	56	46	69	71
fig|1185660.4.peg.2904	33	12	41	45
fig|1185660.4.peg.2905	41	33	59	53
fig|1185660.4.peg.2906	27	40	27	30
fig|1185660.4.peg.2907	16	8	9	16
fig|1185660.4.peg.2908	25	18	10	17
fig|1185660.4.peg.2909	5	6	2	6
fig|1185660.4.peg.2910	5	6	4	8
fig|1185660.4.peg.2911	4	5	4	8
fig|1185660.4.peg.2912	8	10	5	9
fig|1185660.4.peg.2913	4	7	3	5
fig|1185660.4.peg.2915	114	103	129	89
